[2023-08-07 20:37:02,996] [                     Ikea]     INFO | Battery    : 21
[2023-08-07 20:37:02,996] [                     Ikea]     INFO | BatteryWeak: False
[2023-08-07 20:37:02,997] [                     Ikea]     INFO | LinkQuality: 0
[2023-08-07 20:37:02,997] [                     Ikea]     INFO | LightState : True
[2023-08-07 20:37:02,998] [                     Ikea]     INFO | FW Update  : False
[2023-08-07 20:41:17,174] [                     Ikea]     INFO | Item       : BewegungsmelderGastWC
[2023-08-07 20:41:17,175] [                     Ikea]     INFO | MotionState: True
[2023-08-07 20:41:17,177] [                     Ikea]     INFO | Battery    : 21
[2023-08-07 20:41:17,179] [                     Ikea]     INFO | BatteryWeak: False
[2023-08-07 20:41:17,180] [                     Ikea]     INFO | LinkQuality: 0
[2023-08-07 20:41:17,181] [                     Ikea]     INFO | LightState : False
[2023-08-07 20:41:17,182] [                     Ikea]     INFO | FW Update  : False
[2023-08-07 20:51:17,172] [                     Ikea]     INFO | Item       : BewegungsmelderGastWC
[2023-08-07 20:51:17,173] [                     Ikea]     INFO | MotionState: False
[2023-08-07 20:51:17,173] [                     Ikea]     INFO | Battery    : 21
[2023-08-07 20:51:17,174] [                     Ikea]     INFO | BatteryWeak: False
[2023-08-07 20:51:17,174] [                     Ikea]     INFO | LinkQuality: 0
[2023-08-07 20:51:17,175] [                     Ikea]     INFO | LightState : False
[2023-08-07 20:51:17,175] [                     Ikea]     INFO | FW Update  : False
