2023-08-07 19:20:31.267 [WARN ] [HABApp.openhab.items                ] - Item HeizungBad_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.267 [WARN ] [HABApp.openhab.items                ] - Item HeizungGastWC_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.269 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatBad_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.271 [WARN ] [HABApp.openhab.items                ] - Item HeizungMika_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.273 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatFlur_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.273 [WARN ] [HABApp.openhab.items                ] - Item HeizungSara_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.274 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatBad_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.275 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Windgeschwindigkeit is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.275 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Schnee is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.276 [WARN ] [HABApp.openhab.items                ] - Item HeizungGastWC_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.277 [WARN ] [HABApp.openhab.items                ] - Item HeizungSara_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.278 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Current_Temperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.278 [WARN ] [HABApp.openhab.items                ] - Item HeizungGastWC_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.278 [WARN ] [HABApp.openhab.items                ] - Item HeizungFinnja_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.279 [WARN ] [HABApp.openhab.items                ] - Item Monddaten_BeleuchtungsStaerkeDesMondes is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.280 [WARN ] [HABApp.openhab.items                ] - Item HeizungSofaSued_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.280 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderAbstellraum_ChargingLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.280 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderHaustuer_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.281 [WARN ] [HABApp.openhab.items                ] - Item MessSteckdose_Voltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.282 [WARN ] [HABApp.openhab.items                ] - Item LichtSensorBrunnen_Beleuchtungsstarke is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.283 [WARN ] [HABApp.openhab.items                ] - Item gHeizungenBad_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.283 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours03_PrecipitationAmount is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.283 [WARN ] [HABApp.openhab.items                ] - Item TempSensorBrunnen_Temperatur is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.284 [WARN ] [HABApp.openhab.items                ] - Item Mp3Spieler_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.285 [WARN ] [HABApp.openhab.items                ] - Item HeizungErker_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.286 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderGaestezimmer_ChargingLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.288 [WARN ] [HABApp.openhab.items                ] - Item TemperaturHeizung_TemperaturUnterschied is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.290 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderWerkstatt_ChargingLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.291 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatKueche_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.292 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatFlur_Humidity is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.292 [WARN ] [HABApp.openhab.items                ] - Item HeizungSofaSued_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.293 [WARN ] [HABApp.openhab.items                ] - Item Sonnendaten_Gesamtstrahlung is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.294 [WARN ] [HABApp.openhab.items                ] - Item TemperaturHeizung_VorlaufTemperatur is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.294 [WARN ] [HABApp.openhab.items                ] - Item HeizungBad_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.296 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatFlur_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.296 [WARN ] [HABApp.openhab.items                ] - Item gHeizungenSofa_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.297 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours09_PrecipitationAmount is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.297 [WARN ] [HABApp.openhab.items                ] - Item TempSensorEinfahrt_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.298 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Luftdruck is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.298 [WARN ] [HABApp.openhab.items                ] - Item HeizungErker_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.299 [WARN ] [HABApp.openhab.items                ] - Item HeizungSofa_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.299 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderEinfahrt_ChargeLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.299 [WARN ] [HABApp.openhab.items                ] - Item LichtSensorErkerWeg_Beleuchtungsstaerke is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.300 [WARN ] [HABApp.openhab.items                ] - Item HeizungErker_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
